TRRN,Timestamp,Amount,Year,Month,Employees,Link
2031805005513,14-MAY-2018 15:07:54,"1,14,61,941",18,APR,342,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-46-9CB7473B818814C765753304BC926813
2031804007692,17-APR-2018 04:57:52,"1,16,01,381",18,MAR,358,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-39-9CB7473B818814C765753304BC926813
2031803009601,16-MAR-2018 06:35:17,"1,19,43,278",18,FEB,345,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-38-9CB7473B818814C765753304BC926813
2031802008834,14-FEB-2018 20:55:57,"1,06,70,025",18,JAN,341,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-28-9CB7473B818814C765753304BC926813
2031801008663,15-JAN-2018 17:11:08,"1,02,43,944",17,DEC,338,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-42-9CB7473B818814C765753304BC926813
2031712006646,13-DEC-2017 22:48:02,"1,03,68,457",17,NOV,340,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-27-9CB7473B818814C765753304BC926813
2031711002834,09-NOV-2017 12:08:34,"1,04,37,811",17,OCT,345,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-77-9CB7473B818814C765753304BC926813
2031710007100,13-OCT-2017 13:20:02,"1,05,50,325",17,SEP,343,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-11-9CB7473B818814C765753304BC926813
2031709007201,14-SEP-2017 20:46:44,"1,04,08,187",17,AUG,344,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-88-9CB7473B818814C765753304BC926813
2031708005925,15-AUG-2017 19:43:02,"1,04,61,355",17,JUL,343,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-61-9CB7473B818814C765753304BC926813
2031707004703,13-JUL-2017 08:58:04,"95,98,232",17,JUN,327,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-122-9CB7473B818814C765753304BC926813
2031706006988,16-JUN-2017 14:05:47,"96,52,908",17,MAY,314,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-10-9CB7473B818814C765753304BC926813
2031705003355,12-MAY-2017 23:42:22,"95,46,504",17,APR,308,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-45-9CB7473B818814C765753304BC926813
2031704003989,13-APR-2017 17:49:05,"98,96,363",17,MAR,315,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-126-9CB7473B818814C765753304BC926813
2031703008872,15-MAR-2017 19:26:27,"98,71,553",17,FEB,319,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-0-9CB7473B818814C765753304BC926813
2031702006967,15-FEB-2017 13:59:37,"99,00,567",17,JAN,315,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-73-9CB7473B818814C765753304BC926813
2031701004310,19-JAN-2017 01:28:19,"95,25,347",16,DEC,309,/publicPortal/no-auth/estSearch/memberDetails?_HDIV_STATE_=14-95-9CB7473B818814C765753304BC926813
